Series Name,Country Name,Time,Value,
Agricultural land (sq. km),India,1960,NA,
Agricultural land (sq. km),India,1961,1749520,
Agricultural land (sq. km),India,1962,1764820,
Agricultural land (sq. km),India,1963,1761540,
Agricultural land (sq. km),India,1964,1767120,
Agricultural land (sq. km),India,1965,1771770,
Agricultural land (sq. km),India,1966,1775300,
Agricultural land (sq. km),India,1967,1778070,
Agricultural land (sq. km),India,1968,1783640,
Agricultural land (sq. km),India,1969,1777920,
Agricultural land (sq. km),India,1970,1780520,
Agricultural land (sq. km),India,1971,1778170,
Agricultural land (sq. km),India,1972,1779460,
Agricultural land (sq. km),India,1973,1787510,
Agricultural land (sq. km),India,1974,1792820,
Agricultural land (sq. km),India,1975,1796940,
Agricultural land (sq. km),India,1976,1796490,
Agricultural land (sq. km),India,1977,1795910,
Agricultural land (sq. km),India,1978,1805920,
Agricultural land (sq. km),India,1979,1805800,
Agricultural land (sq. km),India,1980,1802720,
Agricultural land (sq. km),India,1981,1804010,
Agricultural land (sq. km),India,1982,1807710,
Agricultural land (sq. km),India,1983,1804620,
Agricultural land (sq. km),India,1984,1814520,
Agricultural land (sq. km),India,1985,1813400,
Agricultural land (sq. km),India,1986,1811920,
Agricultural land (sq. km),India,1987,1815430,
Agricultural land (sq. km),India,1988,1810910,
Agricultural land (sq. km),India,1989,1815010,
Agricultural land (sq. km),India,1990,1814130,
Agricultural land (sq. km),India,1991,1815860,
Agricultural land (sq. km),India,1992,1813050,
Agricultural land (sq. km),India,1993,1813820,
Agricultural land (sq. km),India,1994,1812910,
Agricultural land (sq. km),India,1995,1809450,
Agricultural land (sq. km),India,1996,1805890,
Agricultural land (sq. km),India,1997,1809810,
Agricultural land (sq. km),India,1998,1808740,
Agricultural land (sq. km),India,1999,1810210,
Agricultural land (sq. km),India,2000,1809750,
Agricultural land (sq. km),India,2001,1804870,
Agricultural land (sq. km),India,2002,1805600,
Agricultural land (sq. km),India,2003,1802490,
Agricultural land (sq. km),India,2004,1803750,
Agricultural land (sq. km),India,2005,1801260,
Agricultural land (sq. km),India,2006,1799060,
Agricultural land (sq. km),India,2007,1796200,
Agricultural land (sq. km),India,2008,1797570,
Agricultural land (sq. km),India,2009,1800680,
Agricultural land (sq. km),India,2010,1795730,
Agricultural land (sq. km),India,2011,1796700,
Agricultural land (sq. km),India,2012,1796420,
Agricultural land (sq. km),India,2013,1796980,
Agricultural land (sq. km),India,2014,1797210,
Agricultural land (sq. km),India,2015,1797210,
Agricultural land (sq. km),India,2016,1797210,
Agricultural land (sq. km),India,2017,NA,
Agricultural land (sq. km),India,2018,NA,
Agricultural land (sq. km),India,2019,NA,
Agricultural land (sq. km),India,2020,NA,
Agricultural land (sq. km),United Kingdom,1960,NA,
Agricultural land (sq. km),United Kingdom,1961,198000,
Agricultural land (sq. km),United Kingdom,1962,197790,
Agricultural land (sq. km),United Kingdom,1963,197470,
Agricultural land (sq. km),United Kingdom,1964,197030,
Agricultural land (sq. km),United Kingdom,1965,195850,
Agricultural land (sq. km),United Kingdom,1966,195500,
Agricultural land (sq. km),United Kingdom,1967,195540,
Agricultural land (sq. km),United Kingdom,1968,194260,
Agricultural land (sq. km),United Kingdom,1969,193800,
Agricultural land (sq. km),United Kingdom,1970,188490,
Agricultural land (sq. km),United Kingdom,1971,188430,
Agricultural land (sq. km),United Kingdom,1972,187560,
Agricultural land (sq. km),United Kingdom,1973,186960,
Agricultural land (sq. km),United Kingdom,1974,186380,
Agricultural land (sq. km),United Kingdom,1975,185830,
Agricultural land (sq. km),United Kingdom,1976,185680,
Agricultural land (sq. km),United Kingdom,1977,184900,
Agricultural land (sq. km),United Kingdom,1978,184780,
Agricultural land (sq. km),United Kingdom,1979,184520,
Agricultural land (sq. km),United Kingdom,1980,184690,
Agricultural land (sq. km),United Kingdom,1981,183200,
Agricultural land (sq. km),United Kingdom,1982,182810,
Agricultural land (sq. km),United Kingdom,1983,182160,
Agricultural land (sq. km),United Kingdom,1984,182020,
Agricultural land (sq. km),United Kingdom,1985,181680,
Agricultural land (sq. km),United Kingdom,1986,181300,
Agricultural land (sq. km),United Kingdom,1987,181160,
Agricultural land (sq. km),United Kingdom,1988,184230,
Agricultural land (sq. km),United Kingdom,1989,183060,
Agricultural land (sq. km),United Kingdom,1990,182030,
Agricultural land (sq. km),United Kingdom,1991,181430,
Agricultural land (sq. km),United Kingdom,1992,180700,
Agricultural land (sq. km),United Kingdom,1993,175340,
Agricultural land (sq. km),United Kingdom,1994,174090,
Agricultural land (sq. km),United Kingdom,1995,173790,
Agricultural land (sq. km),United Kingdom,1996,174940,
Agricultural land (sq. km),United Kingdom,1997,175850,
Agricultural land (sq. km),United Kingdom,1998,175180,
Agricultural land (sq. km),United Kingdom,1999,172190,
Agricultural land (sq. km),United Kingdom,2000,169640,
Agricultural land (sq. km),United Kingdom,2001,169530,
Agricultural land (sq. km),United Kingdom,2002,169760,
Agricultural land (sq. km),United Kingdom,2003,169560,
Agricultural land (sq. km),United Kingdom,2004,170510,
Agricultural land (sq. km),United Kingdom,2005,169560,
Agricultural land (sq. km),United Kingdom,2006,178380,
Agricultural land (sq. km),United Kingdom,2007,176470,
Agricultural land (sq. km),United Kingdom,2008,176840,
Agricultural land (sq. km),United Kingdom,2009,173250,
Agricultural land (sq. km),United Kingdom,2010,172240,
Agricultural land (sq. km),United Kingdom,2011,171640,
Agricultural land (sq. km),United Kingdom,2012,171820,
Agricultural land (sq. km),United Kingdom,2013,172501.9921875,
Agricultural land (sq. km),United Kingdom,2014,172320,
Agricultural land (sq. km),United Kingdom,2015,171380,
Agricultural land (sq. km),United Kingdom,2016,173499.8046875,
Agricultural land (sq. km),United Kingdom,2017,NA,
Agricultural land (sq. km),United Kingdom,2018,NA,
Agricultural land (sq. km),United Kingdom,2019,NA,
Agricultural land (sq. km),United Kingdom,2020,NA,
Agricultural land (sq. km),World,1960,NA,
Agricultural land (sq. km),World,1961,37189665.5161139,
Agricultural land (sq. km),World,1962,37282412.5007331,
Agricultural land (sq. km),World,1963,37405407.8027427,
Agricultural land (sq. km),World,1964,37505717.904534,
Agricultural land (sq. km),World,1965,37624442.6892096,
Agricultural land (sq. km),World,1966,37696757.1801764,
Agricultural land (sq. km),World,1967,37822740.5092818,
Agricultural land (sq. km),World,1968,37913943.4939048,
Agricultural land (sq. km),World,1969,38142638.7131354,
Agricultural land (sq. km),World,1970,38192527.7878425,
Agricultural land (sq. km),World,1971,38297982.3850104,
Agricultural land (sq. km),World,1972,38388309.3012664,
Agricultural land (sq. km),World,1973,38574806.9015071,
Agricultural land (sq. km),World,1974,38650755.7016513,
Agricultural land (sq. km),World,1975,38736139.4023845,
Agricultural land (sq. km),World,1976,38711784.1999003,
Agricultural land (sq. km),World,1977,38691457.4045894,
Agricultural land (sq. km),World,1978,38742093.1003711,
Agricultural land (sq. km),World,1979,38859534.0971896,
Agricultural land (sq. km),World,1980,38976765.4016253,
Agricultural land (sq. km),World,1981,38992880.8986041,
Agricultural land (sq. km),World,1982,39156936.2997958,
Agricultural land (sq. km),World,1983,39231633.7997863,
Agricultural land (sq. km),World,1984,39525006.7981002,
Agricultural land (sq. km),World,1985,39807047.4983642,
Agricultural land (sq. km),World,1986,40031279.9995849,
Agricultural land (sq. km),World,1987,40201772.9998443,
Agricultural land (sq. km),World,1988,40373557.9996726,
Agricultural land (sq. km),World,1989,40502181.0060355,
Agricultural land (sq. km),World,1990,40670334.0059325,
Agricultural land (sq. km),World,1991,40775831.0039303,
Agricultural land (sq. km),World,1992,46812147.8110597,
Agricultural land (sq. km),World,1993,47290785.0062844,
Agricultural land (sq. km),World,1994,47507330.0082299,
Agricultural land (sq. km),World,1995,47561579.9920398,
Agricultural land (sq. km),World,1996,47663056.5488368,
Agricultural land (sq. km),World,1997,47867501.1703235,
Agricultural land (sq. km),World,1998,48013126.1713248,
Agricultural land (sq. km),World,1999,48052357.8640252,
Agricultural land (sq. km),World,2000,48110831.7726976,
Agricultural land (sq. km),World,2001,48083779.8511416,
Agricultural land (sq. km),World,2002,47960702.5542885,
Agricultural land (sq. km),World,2003,47816975.9511197,
Agricultural land (sq. km),World,2004,47923939.5705664,
Agricultural land (sq. km),World,2005,47929156.225844,
Agricultural land (sq. km),World,2006,47817121.0130435,
Agricultural land (sq. km),World,2007,47799137.8466952,
Agricultural land (sq. km),World,2008,47762211.3919249,
Agricultural land (sq. km),World,2009,47637426.0109749,
Agricultural land (sq. km),World,2010,47621750.4568002,
Agricultural land (sq. km),World,2011,48728564.6497223,
Agricultural land (sq. km),World,2012,48796540.8095476,
Agricultural land (sq. km),World,2013,48770736.0469428,
Agricultural land (sq. km),World,2014,48911665.7393947,
Agricultural land (sq. km),World,2015,48617502.9237905,
Agricultural land (sq. km),World,2016,48632687.6037517,
Agricultural land (sq. km),World,2017,NA,
Agricultural land (sq. km),World,2018,NA,
Agricultural land (sq. km),World,2019,NA,
Agricultural land (sq. km),World,2020,NA,
Agricultural land (% of land area),China,1960,NA,
Agricultural land (% of land area),China,1961,36.4657950097196,
Agricultural land (% of land area),China,1962,36.7587143503848,
Agricultural land (% of land area),China,1963,37.0622853034378,
Agricultural land (% of land area),China,1964,37.3658562564908,
Agricultural land (% of land area),China,1965,37.7706175272282,
Agricultural land (% of land area),China,1966,38.1540755731899,
Agricultural land (% of land area),China,1967,38.5375336191516,
Agricultural land (% of land area),China,1968,38.9209916651133,
Agricultural land (% of land area),China,1969,39.4109658349533,
Agricultural land (% of land area),China,1970,39.9009400047932,
Agricultural land (% of land area),China,1971,40.3962399808271,
Agricultural land (% of land area),China,1972,40.8883444731446,
Agricultural land (% of land area),China,1973,41.4858999281016,
Agricultural land (% of land area),China,1974,42.1910366681756,
Agricultural land (% of land area),China,1975,42.6820759992544,
Agricultural land (% of land area),China,1976,43.31584693633,
Agricultural land (% of land area),China,1977,43.9485527121668,
Agricultural land (% of land area),China,1978,44.5738023593321,
Agricultural land (% of land area),China,1979,45.0765584640375,
Agricultural land (% of land area),China,1980,45.5467206348361,
Agricultural land (% of land area),China,1981,46.1117886720102,
Agricultural land (% of land area),China,1982,47.1353021063563,
Agricultural land (% of land area),China,1983,48.2441349559289,
Agricultural land (% of land area),China,1984,49.4806806380316,
Agricultural land (% of land area),China,1985,50.7386360610337,
Agricultural land (% of land area),China,1986,51.389343061806,
Agricultural land (% of land area),China,1987,51.9549436795995,
Agricultural land (% of land area),China,1988,52.5523926184326,
Agricultural land (% of land area),China,1989,53.2032061353287,
Agricultural land (% of land area),China,1990,53.8645647484888,
Agricultural land (% of land area),China,1991,54.4701089127367,
Agricultural land (% of land area),China,1992,54.7827337363193,
Agricultural land (% of land area),China,1993,55.1991052645594,
Agricultural land (% of land area),China,1994,55.6901445956382,
Agricultural land (% of land area),China,1995,55.6902039146848,
Agricultural land (% of land area),China,1996,55.6944173715386,
Agricultural land (% of land area),China,1997,55.7435214092539,
Agricultural land (% of land area),China,1998,55.7808021320313,
Agricultural land (% of land area),China,1999,55.7222181390954,
Agricultural land (% of land area),China,2000,55.6019138878296,
Agricultural land (% of land area),China,2001,55.3795406914108,
Agricultural land (% of land area),China,2002,55.232342203565,
Agricultural land (% of land area),China,2003,54.9767061621155,
Agricultural land (% of land area),China,2004,55.0086611269185,
Agricultural land (% of land area),China,2005,55.1151813454359,
Agricultural land (% of land area),China,2006,54.7636803549771,
Agricultural land (% of land area),China,2007,54.8100187089699,
Agricultural land (% of land area),China,2008,54.8079948941282,
Agricultural land (% of land area),China,2009,54.8084173116577,
Agricultural land (% of land area),China,2010,54.8080977619672,
Agricultural land (% of land area),China,2011,54.8084173116577,
Agricultural land (% of land area),China,2012,54.8084173116577,
Agricultural land (% of land area),China,2013,54.8084173116577,
Agricultural land (% of land area),China,2014,54.8084173116577,
Agricultural land (% of land area),China,2015,56.2229572752744,
Agricultural land (% of land area),China,2016,56.2123131033498,
Agricultural land (% of land area),China,2017,NA,
Agricultural land (% of land area),China,2018,NA,
Agricultural land (% of land area),China,2019,NA,
Agricultural land (% of land area),China,2020,NA,
Agricultural land (% of land area),India,1960,NA,
Agricultural land (% of land area),India,1961,58.8431953558299,
Agricultural land (% of land area),India,1962,59.3577941537541,
Agricultural land (% of land area),India,1963,59.2474749343298,
Agricultural land (% of land area),India,1964,59.4351521429845,
Agricultural land (% of land area),India,1965,59.5915498168634,
Agricultural land (% of land area),India,1966,59.7102775133779,
Agricultural land (% of land area),India,1967,59.803443439538,
Agricultural land (% of land area),India,1968,59.9907843091091,
Agricultural land (% of land area),India,1969,59.7983983532838,
Agricultural land (% of land area),India,1970,59.8858465150226,
Agricultural land (% of land area),India,1971,59.8068068303741,
Agricultural land (% of land area),India,1972,59.8501945721599,
Agricultural land (% of land area),India,1973,60.1209475344664,
Agricultural land (% of land area),India,1974,60.2995435878635,
Agricultural land (% of land area),India,1975,60.4381152903111,
Agricultural land (% of land area),India,1976,60.4229800315486,
Agricultural land (% of land area),India,1977,60.4034723646992,
Agricultural land (% of land area),India,1978,60.7401477873933,
Agricultural land (% of land area),India,1979,60.73611171839,
Agricultural land (% of land area),India,1980,60.632519280638,
Agricultural land (% of land area),India,1981,60.6759070224237,
Agricultural land (% of land area),India,1982,60.8003524833596,
Agricultural land (% of land area),India,1983,60.696423706524,
Agricultural land (% of land area),India,1984,61.0293993992984,
Agricultural land (% of land area),India,1985,60.991729421934,
Agricultural land (% of land area),India,1986,60.9419512375597,
Agricultural land (% of land area),India,1987,61.0600062559069,
Agricultural land (% of land area),India,1988,60.907980990115,
Agricultural land (% of land area),India,1989,61.0458800143953,
Agricultural land (% of land area),India,1990,61.0162821750376,
Agricultural land (% of land area),India,1991,61.0744688365022,
Agricultural land (% of land area),India,1992,60.9799575540076,
Agricultural land (% of land area),India,1993,61.0058556634457,
Agricultural land (% of land area),India,1994,60.9752488068371,
Agricultural land (% of land area),India,1995,60.8588754839079,
Agricultural land (% of land area),India,1996,60.7391387701425,
Agricultural land (% of land area),India,1997,60.8709836909178,
Agricultural land (% of land area),India,1998,60.8349954089715,
Agricultural land (% of land area),India,1999,60.8844372542623,
Agricultural land (% of land area),India,2000,60.8689656564162,
Agricultural land (% of land area),India,2001,60.7048321836142,
Agricultural land (% of land area),India,2002,60.7293849367178,
Agricultural land (% of land area),India,2003,60.6247834817149,
Agricultural land (% of land area),India,2004,60.6671622062499,
Agricultural land (% of land area),India,2005,60.5834137744308,
Agricultural land (% of land area),India,2006,60.5094191760365,
Agricultural land (% of land area),India,2007,60.4132261981239,
Agricultural land (% of land area),India,2008,60.4593046525785,
Agricultural land (% of land area),India,2009,60.5639061075814,
Agricultural land (% of land area),India,2010,60.3974182611942,
Agricultural land (% of land area),India,2011,60.4300431523044,
Agricultural land (% of land area),India,2012,60.4206256579633,
Agricultural land (% of land area),India,2013,60.4394606466455,
Agricultural land (% of land area),India,2014,60.4471964455686,
Agricultural land (% of land area),India,2015,60.4471964455686,
Agricultural land (% of land area),India,2016,60.4471964455686,
Agricultural land (% of land area),India,2017,NA,
Agricultural land (% of land area),India,2018,NA,
Agricultural land (% of land area),India,2019,NA,
Agricultural land (% of land area),India,2020,NA,
Agricultural land (% of land area),United Kingdom,1960,NA,
Agricultural land (% of land area),United Kingdom,1961,81.8418550820485,
Agricultural land (% of land area),United Kingdom,1962,81.7550531145373,
Agricultural land (% of land area),United Kingdom,1963,81.6227834497582,
Agricultural land (% of land area),United Kingdom,1964,81.440912660687,
Agricultural land (% of land area),United Kingdom,1965,80.9531682718142,
Agricultural land (% of land area),United Kingdom,1966,80.808498325962,
Agricultural land (% of land area),United Kingdom,1967,80.8250320340594,
Agricultural land (% of land area),United Kingdom,1968,80.2959533749432,
Agricultural land (% of land area),United Kingdom,1969,80.1058157318233,
Agricultural land (% of land area),United Kingdom,1970,77.9109659818956,
Agricultural land (% of land area),United Kingdom,1971,77.8861654197495,
Agricultural land (% of land area),United Kingdom,1972,77.5265572686314,
Agricultural land (% of land area),United Kingdom,1973,77.2785516471707,
Agricultural land (% of land area),United Kingdom,1974,77.0388128797586,
Agricultural land (% of land area),United Kingdom,1975,76.8114743934196,
Agricultural land (% of land area),United Kingdom,1976,76.7494729880544,
Agricultural land (% of land area),United Kingdom,1977,76.4270656801554,
Agricultural land (% of land area),United Kingdom,1978,76.3774645558633,
Agricultural land (% of land area),United Kingdom,1979,76.2699954532303,
Agricultural land (% of land area),United Kingdom,1980,76.3402637126441,
Agricultural land (% of land area),United Kingdom,1981,75.7243830860166,
Agricultural land (% of land area),United Kingdom,1982,75.5631794320671,
Agricultural land (% of land area),United Kingdom,1983,75.2945066754846,
Agricultural land (% of land area),United Kingdom,1984,75.2366386971438,
Agricultural land (% of land area),United Kingdom,1985,75.096102178316,
Agricultural land (% of land area),United Kingdom,1986,74.9390319513909,
Agricultural land (% of land area),United Kingdom,1987,74.8811639730501,
Agricultural land (% of land area),United Kingdom,1988,76.1501260695242,
Agricultural land (% of land area),United Kingdom,1989,75.6665151076758,
Agricultural land (% of land area),United Kingdom,1990,75.2407721241681,
Agricultural land (% of land area),United Kingdom,1991,74.9927665027074,
Agricultural land (% of land area),United Kingdom,1992,74.6910263299301,
Agricultural land (% of land area),United Kingdom,1993,72.4755094448807,
Agricultural land (% of land area),United Kingdom,1994,71.9588310668375,
Agricultural land (% of land area),United Kingdom,1995,71.8348282561071,
Agricultural land (% of land area),United Kingdom,1996,72.3101723639069,
Agricultural land (% of land area),United Kingdom,1997,72.6863142231224,
Agricultural land (% of land area),United Kingdom,1998,72.4093746124912,
Agricultural land (% of land area),United Kingdom,1999,71.1734799322118,
Agricultural land (% of land area),United Kingdom,2000,70.1194560410036,
Agricultural land (% of land area),United Kingdom,2001,70.0739883437358,
Agricultural land (% of land area),United Kingdom,2002,70.1690571652957,
Agricultural land (% of land area),United Kingdom,2003,70.0863886248088,
Agricultural land (% of land area),United Kingdom,2004,70.4790641921217,
Agricultural land (% of land area),United Kingdom,2005,70.0863886248088,
Agricultural land (% of land area),United Kingdom,2006,73.7320712602819,
Agricultural land (% of land area),United Kingdom,2007,72.9425866986318,
Agricultural land (% of land area),United Kingdom,2008,73.0955234985326,
Agricultural land (% of land area),United Kingdom,2009,71.6116231967925,
Agricultural land (% of land area),United Kingdom,2010,71.1941470673335,
Agricultural land (% of land area),United Kingdom,2011,70.9461414458728,
Agricultural land (% of land area),United Kingdom,2012,71.020543132311,
Agricultural land (% of land area),United Kingdom,2013,71.3024396261315,
Agricultural land (% of land area),United Kingdom,2014,71.2272144835283,
Agricultural land (% of land area),United Kingdom,2015,70.8386723432398,
Agricultural land (% of land area),United Kingdom,2016,71.7148781414045,
Agricultural land (% of land area),United Kingdom,2017,NA,
Agricultural land (% of land area),United Kingdom,2018,NA,
Agricultural land (% of land area),United Kingdom,2019,NA,
Agricultural land (% of land area),United Kingdom,2020,NA,
Agricultural land (% of land area),World,1960,NA,
Agricultural land (% of land area),World,1961,35.6354496031242,
Agricultural land (% of land area),World,1962,35.7243273884138,
Agricultural land (% of land area),World,1963,35.8421791071664,
Agricultural land (% of land area),World,1964,35.938297097742,
Agricultural land (% of land area),World,1965,36.0520636482283,
Agricultural land (% of land area),World,1966,36.1213594748142,
Agricultural land (% of land area),World,1967,36.2420812654982,
Agricultural land (% of land area),World,1968,36.3294762453817,
Agricultural land (% of land area),World,1969,36.5486140287096,
Agricultural land (% of land area),World,1970,36.5964216883809,
Agricultural land (% of land area),World,1971,36.6974727428698,
Agricultural land (% of land area),World,1972,36.7840600569469,
Agricultural land (% of land area),World,1973,36.962788706414,
Agricultural land (% of land area),World,1974,37.0357304451932,
Agricultural land (% of land area),World,1975,37.1177277708923,
Agricultural land (% of land area),World,1976,37.0944647824067,
Agricultural land (% of land area),World,1977,37.0750333935861,
Agricultural land (% of land area),World,1978,37.1235536675159,
Agricultural land (% of land area),World,1979,37.2360990025797,
Agricultural land (% of land area),World,1980,37.3485293619812,
Agricultural land (% of land area),World,1981,37.3639429991891,
Agricultural land (% of land area),World,1982,37.5212240409441,
Agricultural land (% of land area),World,1983,37.5928155930094,
Agricultural land (% of land area),World,1984,37.8744739507944,
Agricultural land (% of land area),World,1985,38.1447734076171,
Agricultural land (% of land area),World,1986,38.3596055860542,
Agricultural land (% of land area),World,1987,38.5230121571156,
Agricultural land (% of land area),World,1988,38.6876274011551,
Agricultural land (% of land area),World,1989,38.8112475176865,
Agricultural land (% of land area),World,1990,38.9723802650532,
Agricultural land (% of land area),World,1991,39.0727577155382,
Agricultural land (% of land area),World,1992,37.154943992429,
Agricultural land (% of land area),World,1993,37.174091638852,
Agricultural land (% of land area),World,1994,37.3477597201641,
Agricultural land (% of land area),World,1995,37.3912724134553,
Agricultural land (% of land area),World,1996,37.4711796913091,
Agricultural land (% of land area),World,1997,37.6114047799498,
Agricultural land (% of land area),World,1998,37.7335386037383,
Agricultural land (% of land area),World,1999,37.762358085481,
Agricultural land (% of land area),World,2000,37.8042253594362,
Agricultural land (% of land area),World,2001,37.7833034518734,
Agricultural land (% of land area),World,2002,37.6872412033945,
Agricultural land (% of land area),World,2003,37.5743328592472,
Agricultural land (% of land area),World,2004,37.6588968559836,
Agricultural land (% of land area),World,2005,37.6630152592851,
Agricultural land (% of land area),World,2006,37.5464112542414,
Agricultural land (% of land area),World,2007,37.5291327959191,
Agricultural land (% of land area),World,2008,37.5080747031226,
Agricultural land (% of land area),World,2009,37.4105587750932,
Agricultural land (% of land area),World,2010,37.3975810905062,
Agricultural land (% of land area),World,2011,37.5068577169516,
Agricultural land (% of land area),World,2012,37.5613760418044,
Agricultural land (% of land area),World,2013,37.5415322215255,
Agricultural land (% of land area),World,2014,37.6526793711235,
Agricultural land (% of land area),World,2015,37.4218187965165,
Agricultural land (% of land area),World,2016,37.4307396653348,
Agricultural land (% of land area),World,2017,NA,
Agricultural land (% of land area),World,2018,NA,
Agricultural land (% of land area),World,2019,NA,
Agricultural land (% of land area),World,2020,NA,
Arable land (% of land area),China,1960,NA,
Arable land (% of land area),China,1961,10.9285543099087,
Arable land (% of land area),China,1962,10.8965994727452,
Arable land (% of land area),China,1963,10.8752962479695,
Arable land (% of land area),China,1964,10.8539930231939,
Arable land (% of land area),China,1965,10.8273639922243,
Arable land (% of land area),China,1966,10.7794317364791,
Arable land (% of land area),China,1967,10.7283039970176,
Arable land (% of land area),China,1968,10.677176257556,
Arable land (% of land area),China,1969,10.6260485180944,
Arable land (% of land area),China,1970,10.5749207786329,
Arable land (% of land area),China,1971,10.5291188453652,
Arable land (% of land area),China,1972,10.4801214283812,
Arable land (% of land area),China,1973,10.4300588501584,
Arable land (% of land area),China,1974,10.4875775570527,
Arable land (% of land area),China,1975,10.3309988549517,
Arable land (% of land area),China,1976,10.3171517588475,
Arable land (% of land area),China,1977,10.3022395015045,
Arable land (% of land area),China,1978,10.2713498255798,
Arable land (% of land area),China,1979,10.2736931803052,
Arable land (% of land area),China,1980,10.2441882139909,
Arable land (% of land area),China,1981,10.309695630176,
Arable land (% of land area),China,1982,10.8326897984182,
Arable land (% of land area),China,1983,11.4291800921364,
Arable land (% of land area),China,1984,12.1428381221207,
Arable land (% of land area),China,1985,12.7925864777781,
Arable land (% of land area),China,1986,12.8351929273294,
Arable land (% of land area),China,1987,12.8032380901659,
Arable land (% of land area),China,1988,12.8777993768807,
Arable land (% of land area),China,1989,13.0162703379224,
Arable land (% of land area),China,1990,13.1866961361276,
Arable land (% of land area),China,1991,13.3012009692967,
Arable land (% of land area),China,1992,13.0908316246372,
Arable land (% of land area),China,1993,12.920405826432,
Arable land (% of land area),China,1994,12.856496152105,
Arable land (% of land area),China,1995,12.7372116605455,
Arable land (% of land area),China,1996,12.7115547872176,
Arable land (% of land area),China,1997,12.7287039196952,
Arable land (% of land area),China,1998,12.7659846424725,
Arable land (% of land area),China,1999,12.7074006495367,
Arable land (% of land area),China,2000,12.5870505804082,
Arable land (% of land area),China,2001,12.3646516113987,
Arable land (% of land area),China,2002,12.1961440878559,
Arable land (% of land area),China,2003,11.8978985616271,
Arable land (% of land area),China,2004,11.8872469066928,
Arable land (% of land area),China,2005,11.956483459743,
Arable land (% of land area),China,2006,11.5783504552052,
Arable land (% of land area),China,2007,11.5554501633265,
Arable land (% of land area),China,2008,11.516145548769,
Arable land (% of land area),China,2009,11.4739642229504,
Arable land (% of land area),China,2010,11.4207059411877,
Arable land (% of land area),China,2011,11.3461443467199,
Arable land (% of land area),China,2012,11.2822344086047,
Arable land (% of land area),China,2013,11.2609310958997,
Arable land (% of land area),China,2014,11.2588007646292,
Arable land (% of land area),China,2015,12.6754710595163,
Arable land (% of land area),China,2016,12.6648210894303,
Arable land (% of land area),China,2017,NA,
Arable land (% of land area),China,2018,NA,
Arable land (% of land area),China,2019,NA,
Arable land (% of land area),China,2020,NA,
Arable land (% of land area),India,1960,NA,
Arable land (% of land area),India,1961,52.4036472610227,
Arable land (% of land area),India,1962,52.7043344017705,
Arable land (% of land area),India,1963,52.9633154961506,
Arable land (% of land area),India,1964,53.0514363360566,
Arable land (% of land area),India,1965,53.2142244525241,
Arable land (% of land area),India,1966,53.3400152697944,
